"Y","W","S","C"
4.42,4,3,1
0,5,0,1
0,5,1,1
1.38,5,2,0
1.813,5,2,1
0.853,5,3,0
2.167,5,3,1
0,1,0,0
0.626,1,0,1
0,1,1,1
3.073,1,2,0
3.333,1,2,1
0,1,3,0
1.014,2,0,1
3.333,2,1,0
2.035,2,1,1
2.84,2,2,0
1.348,2,2,1
1.622,2,3,0
0,3,0,0
0,3,0,1
0,3,1,0
0,3,1,1
2.771,3,2,0
4.52,3,2,1
1.857,3,3,0
1.888,3,3,1
0,4,0,1
1.96,4,1,1
2.673,4,2,0
1.202,4,2,1
1.426,4,3,0
3.063,4,3,1
0,5,0,1
3.529,5,1,0
0,5,1,1
1.793,5,2,0
4.651,5,2,1
1.514,5,3,0
2.059,5,3,1
1.953,1,0,0
3.501,1,0,1
1.324,1,1,0
1.996,1,1,1
1.667,1,2,0
1.552,1,2,1
0,2,0,0
2.945,2,0,1
0.474,2,1,0
1.756,2,1,1
0.831,2,2,0
3.317,2,2,1
0,2,3,0
1.917,3,0,1
1.681,3,1,0
0.525,3,1,1
0.687,3,2,0
2.253,3,2,1
0.281,3,3,0
2.104,3,3,1
6.357,4,0,1
0,4,1,0
0,4,1,1
0.551,4,2,0
1.004,4,2,1
0.179,4,3,0
0.661,4,3,1
0,5,0,1
1.165,5,1,1
0.544,5,2,0
2.478,5,2,1
1.43,5,3,0
1.527,5,3,1
2.665,1,0,0
0,1,0,1
3.78,1,1,0
2.857,1,1,1
1.933,1,2,0
3.422,1,2,1
2.337,2,0,0
0,2,0,1
3.333,2,1,0
1.224,2,1,1
1.199,2,2,0
1.833,2,2,1
2.308,2,3,0
0,3,0,0
0,3,0,1
0,3,1,0
0,3,1,1
2.275,3,2,0
4.154,3,2,1
0.475,3,3,0
1.299,3,3,1
0,4,0,0
0,4,0,1
0,4,1,0
0,4,1,1
1.285,4,2,0
3.317,4,2,1
1.367,4,3,0
3.275,4,3,1
0,5,0,1
0,5,1,1
2.485,5,2,0
2.355,5,2,1
9.495,5,3,0
1.4,5,3,1
